Time,GrassPopulation,PrarieDogPopulation
880.0,56.69874881304104,6.894665113951163
881.0,56.72412771219519,7.074081275828549
882.0,56.73867109380839,7.258335186866597
883.0,56.74206786169455,7.447486719391844
884.0,56.73400870929117,7.641589611521956
885.0,56.71418704812386,7.840690786340509
886.0,56.68229999944561,8.044829640567706
887.0,56.638049449062784,8.254037304331732
888.0,56.581143164832184,8.46833587410646
889.0,56.511295975724224,8.687737621380768
890.0,56.42823101069635,8.912244180161046
891.0,56.331680994908616,9.141845716979216
892.0,56.22138960004133,9.376520087679948
893.0,56.097112844646304,9.616231985888328
894.0,55.95862053958259,9.860932088706605
895.0,55.80569777266074,10.110556205848876
896.0,55.638146425655016,10.36502443908677
897.0,55.455786715849484,10.624240359537138
898.0,55.2584587532742,10.888090210963098
899.0,55.046024103774535,11.156442147869338
900.0,54.81836734705675,11.429145517737192
901.0,54.575397617882885,11.7060301972492
902.0,54.31705011766828,11.986905992780235
903.0,54.04328758288591,12.271562115765683
904.0,53.75410169592599,12.559766743779116
905.0,53.449514423420325,12.851266678244887
906.0,53.12957926654234,13.14578710965793
907.0,52.794382407459686,13.44303150096787
908.0,52.44404373596988,13.742681599392466
909.0,52.07871774041281,14.044397586344209
910.0,51.69859424724659,14.34781837437356
911.0,51.303898994212524,14.652562059046652
912.0,50.89489402281488,14.958226532481612
913.0,50.47187787690937,15.26439026386811
914.0,50.035185595536475,15.57061325069622
915.0,49.58518848974909,15.876438142635516
916.0,49.12229369506026,16.181391538051386
917.0,48.646943493261944,16.48498545104632
918.0,48.15961439971696,16.786718944698713
919.0,47.66081601477501,17.086079923874657
920.0,47.151089640674634,17.38254707864872
921.0,46.63100666812312,17.675591967030826
922.0,46.10116673964893,17.964681223404796
923.0,45.56219569974331,18.24927887688796
924.0,45.01474334469317,18.52884876177009
925.0,44.45948098779862,18.802857000332292
926.0,43.89709885830653,19.0707745367289
927.0,43.32830335481883,19.33207969928112
928.0,42.75381417609616,19.586260767518
929.0,42.1743613540238,19.83281851964011
930.0,41.59068221499374,20.071268735798014
931.0,41.00351829704722,20.301144632686807
932.0,40.413612250789896,20.521999205466113
933.0,39.82170475231815,20.73340745391812
934.0,39.22853145617398,20.934968471041515
935.0,38.63482001568116,21.12630737392367
936.0,38.04128719692112,21.307077058705072
937.0,37.44863611111002,21.476959763709225
938.0,36.857553588271244,21.6356684273109
939.0,36.268707712905886,21.782947829803682
940.0,35.68274553989581,21.91857551134784
941.0,35.10029100618684,22.04236246097344
942.0,34.52194305095199,22.154153574522393
943.0,33.9482739539883,22.253827882279356
944.0,33.379827899116854,22.3412985498103
945.0,32.8171197663931,22.416512658148974
946.0,32.2606341540505,22.479450771900535
947.0,31.710824628345726,22.53012630603025
948.0,31.168113196893433,22.568584704042504
949.0,30.632889998712237,22.594902441908253
950.0,30.105513202081344,22.60918587345253
951.0,29.5863090994532,22.611569933959892
952.0,29.075572387096695,22.602216719495274
953.0,28.573566615866014,22.581313959877228
954.0,28.08052479850265,22.54907340339311
955.0,27.59665015817682,22.5057291312299
956.0,27.122117002547462,22.451535819232596
957.0,26.65707170745116,22.38676696402056
958.0,26.20163379439862,22.311713089719273
959.0,25.755897086339576,22.226679950630462
960.0,25.319930926627194,22.13198674409763
961.0,24.89378144674465,22.02796434665693
962.0,24.47747286912189,21.91495358532382
963.0,24.07100883224293,21.79330355458139
964.0,23.674373726197437,21.663369988332196
965.0,23.287534027839804,21.525513694774382
966.0,22.910439625762347,21.380099060885385
967.0,22.543025126345544,21.2274926319598
968.0,22.185211133199413,21.068061770466535
969.0,21.83690549334052,20.902173397376203
970.0,21.498004504445078,20.730192818071746
971.0,21.16839407846957,20.552482633999947
972.0,20.84795085782749,20.369401740353396
973.0,20.53654328114778,20.181304409293382
974.0,20.23403259641287,19.988539457534635
975.0,19.940273819979218,19.791449496511607
976.0,19.655116640619624,19.590370262830266
977.0,19.378406268294942,19.385630026275788
978.0,19.109984227863883,19.17754907229033
979.0,18.849689098376256,18.96643925555139
980.0,18.59735719896976,18.752603621064207
981.0,18.352823222707233,18.536336089025717
982.0,18.11592081995369,18.31792119961668
983.0,17.886483133105063,18.097633913826748
984.0,17.664343284647394,17.87573946640874
985.0,17.4493348206509,17.65249326708765
986.0,17.241292111891983,17.428140846211477
987.0,17.040050714852224,17.202917841119913
988.0,16.84544769487068,16.9770500196186
989.0,16.657321913728143,16.750753337076745
990.0,16.47551428392319,16.52423402381044
991.0,16.299867991862776,16.29768869956962
992.0,16.130228692138438,16.071304512110064
993.0,15.966444674994877,15.845259297000315
994.0,15.80836700902401,15.619721755984614
995.0,15.655849661036195,15.394851651394735
996.0,15.50874959497343,15.170800014274107
997.0,15.366926851638704,14.94770936404551
998.0,15.230244610922535,14.725713937717476
999.0,15.098569238113713,14.504939926783502
1000.0,14.97177031578719,14.285505720121261
1001.0,14.849720662668918,14.06752215134585
1002.0,14.732296340786146,13.851092749210972
1003.0,14.619376652122506,13.636313989784798
1004.0,14.510844125911103,13.423275549252667
1005.0,14.40658449761571,13.212060556316871
1006.0,14.30648668057067,13.00274584327438
1007.0,14.210442731174227,12.795402194956713
1008.0,14.118347808457985,12.590094594812346
1009.0,14.030100128787023,12.38688246750115
1010.0,13.945600916380974,12.185819917452898
1011.0,13.864754350285956,11.986955962917751
1012.0,13.7874675083707,11.79033476510647
1013.0,13.71365030886737,11.595995852081936
1014.0,13.643215449928352,11.403974337121895
1015.0,13.576078347624488,11.214301131325866
1016.0,13.512157072767867,11.027003150287275
1017.0,13.45137228690299,10.842103514695292
1018.0,13.39364717777397,10.65962174477004
1019.0,13.338907394542016,10.479573948469914
1020.0,13.287080982996867,10.301973003441146
1021.0,13.238098320977675,10.126828732707672
1022.0,13.191892054193154,9.95414807412405
1023.0,13.148397032607294,9.783935243636
1024.0,13.107550247535517,9.616191892412225
1025.0,13.069290769576682,9.450917257927737
1026.0,13.03355968748861,9.288108309093351
1027.0,13.000300048098843,9.127759885538236
1028.0,12.96945679732776,8.969864831162889
1029.0,12.940976722388196,8.814414122088612
1030.0,12.914808395213857,8.661396989136772
1031.0,12.890902117158316,8.510801034976955
1032.0,12.869209864996868,8.362612346087664
1033.0,12.849685238255097,8.216815599676707
1034.0,12.832283407880437,8.07339416571085
1035.0,12.816961066266387,7.932330204205893
1036.0,12.803676378633027,7.793604757929106
1037.0,12.79238893576237,7.657197840666038
1038.0,12.783059708082419,7.523088521203202
1039.0,12.775651001089834,7.391255003177054
1040.0,12.770126412097643,7.261674700938156
1041.0,12.76645078829141,7.134324311577465
1042.0,12.764590186074683,7.009179883259428
1043.0,12.764511831682391,6.88621688000394
1044.0,12.766184083038988,6.7654102430564125
1045.0,12.7695763928366,6.646734448982155
1046.0,12.77465927280721,6.530163564618051
1047.0,12.78140425916188,6.415671299011163
1048.0,12.789783879169255,6.303231052470454
1049.0,12.799771618844966,6.192815962854261
